Estimator,V̂,CI Lower,CI Upper,CI Width
DM,0.015748856542631983,0.01507544678170234,0.016430808370932935,0.001355361589230596
IPS,0.020487310884820274,0.015797489933310246,0.025479397398879913,0.009681907465569666
SNIPS,0.021293920539895234,0.016644601190334375,0.02635723682074631,0.009712635630411935
DR,0.01790550346770222,0.013093276909062939,0.022740590434396347,0.009647313525333408
